,PrivateID,Motion choice RT,Motion choice accuracy,Best choice samples,Best choice accuracy,Beads samples,Beads liberal,Beads first rating,Beads prior rating,Beads overadjustment,BADE bias,BADE BACE,BADE response,BADE liberal,PDI,PDI-CAPE,CAPS,ASI,DOSPERT,Cognitive ability - crt,Cognitive Ability verbal,Cognitive ability wordsum,0,1,2,3,4,5,6
0,1639065,0.896548,0.5,5.0,5.583333333,8,70,63.5,0.5,-17,1.2975,0.17,4.435,0.43,16,1,15,9,71,0.428571429,1.0,0.571428571,-0.27822993425404446,-1.3150904675346757,0.5512209627997644,-0.1620267123315988,-0.7687463673774185,0.02808568315282549,-0.10743275410276565
1,1639069,2.73630689655172,0.96551724137931,6.333333333,5.75,3,25,60.5,0.5,-15,0.81625,0.2275,3.82625,0.16375,10,1,0,0,93,0.571428571,0.75,0.714285714,-0.7839405673957814,-0.7141358789048079,-1.3693968982672713,-1.2280636564015943,1.217156878345077,0.5490615687944789,-0.3602811945724048
2,1639126,1.25308433333333,1.0,6.0,4.75,11,96,50.5,0.5,0,0.73875,0.1425,4.77875,0.41375,35,3,84,26,75,0.571428571,0.0,0.785714286,1.071071088322623,-0.954608687566111,0.27312651746268396,0.4241315744055087,-0.697904891957307,-0.2799008827731672,-1.6048918106542647
3,1639153,1.060193,0.766666666666667,4.833333333,7.166666667,1,73,74.0,17.0,-13,-0.86625,0.3075,3.56625,0.105,39,2,0,3,90,1.0,1.0,0.571428571,0.02309210651516493,-0.2752888473272465,-2.0401591360721376,-1.2968506806787303,-1.329670983496054,0.9403147028185483,0.8893224248076778
4,1639164,1.371062,0.833333333333333,5.0,6.666666667,8,60,55.0,0.5,-11,0.565,0.19125,4.3975,0.355,21,1,25,3,63,1.0,0.75,1.0,-0.4270619329343331,-1.1357893250064595,-0.18369281052485023,-0.31206055504063257,-0.0665054741314325,0.8757348861828435,0.492831928833956
5,1639182,1.17694733333333,0.8,7.666666667,4.25,14,100,71.0,0.5,-19,-0.31875,0.36875,3.44125,0.2925,35,4,0,4,62,0.0,0.5,0.357142857,0.25742854560656236,0.7376768788922685,-0.6505260079686757,0.9606977171902541,-1.3443196824593446,-1.2866544232004156,-1.416512755249721
6,1639200,1.727964,0.933333333333333,5.5,5.5,12,81,56.0,0.0,-3,0.78625,0.33875,3.57375,0.42875,7,1,14,1,99,1.0,1.0,0.642857143,-0.7747666694694662,0.5812272338853501,0.6359772804127897,0.6763227751238031,-0.14115413260584664,0.8243670345581751,-0.23875943514297204
7,1639243,1.29936933333333,0.8,8.0,3.583333333,4,50,50.0,0.0,-5,1.645,0.3525,3.04125,0.5,0,0,0,0,87,0.857142857,1.0,0.857142857,-1.1739658087359597,0.9315396709912274,1.3034458354858178,-0.48373435735922055,0.9443033606757307,0.35197888902235763,-1.6454783385398293
8,1639279,1.38428766666667,0.933333333333333,5.833333333,6.083333333,11,82,58.0,0.0,-19,0.685,0.2825,4.46,0.3025,35,3,25,17,81,0.857142857,1.0,0.642857143,0.4900221305617787,-0.25140197690707483,-0.2998213546487564,0.24670934933614322,-0.69904508862264,0.9878525923922173,-0.06245162108728733
9,1639284,0.877088166666667,0.966666666666667,7.333333333,3.583333333,5,38,50.5,0.5,0,1.21625,0.24125,4.36125,0.48,26,2,31,10,109,1.0,0.75,0.857142857,-0.08598900516124339,-0.05210682216359761,0.8388085692395817,-1.1229363714996843,1.1221906834406845,1.210400171969117,-2.0297522899575138
10,1649953,1.0065175,0.966666666666667,6.166666667,5.166666667,13,74,49.5,1.5,0,1.24125,0.40875,3.8,0.41625,47,4,0,0,116,0.285714286,0.5,0.571428571,0.19874539965692423,1.2698174153499577,0.6720559509462163,0.36942833413844417,0.7651908634479547,-0.4269689336724517,-0.7948086347810451
11,1649954,0.920023,0.7,4.5,6.75,4,67,59.0,5.0,0,0.95125,0.29625,4.125,0.3375,29,1,0,0,59,0.428571429,0.0,0.428571429,-0.38505130670773197,-0.0729997643407442,0.1346682762729266,-0.9302140244791712,-0.18779524326007468,-0.7997492548425774,0.5343448535621405
12,1649955,2.63075862068966,0.827586206896552,5.666666667,7.25,9,65,51.0,1.0,0,1.175,0.3,3.9175,0.4625,58,4,25,10,121,0.857142857,0.75,0.571428571,0.5868017472506968,-0.09970634315881878,0.7702528574646779,0.05266428334180078,0.8615878719729717,0.12274332032241632,0.8396791868605653
13,1649956,0.7622965,0.933333333333333,5.833333333,7.0,10,89,45.5,17.5,-16,-0.29375,0.25375,4.3375,0.33625,17,1,18,12,63,0.571428571,0.5,0.571428571,-0.11488758966395352,-0.6198435100776144,-0.2989927714237487,-0.06464614755121938,-0.9529465711067236,-0.4658658675819694,0.24170293740360765
14,1649961,0.751442833333333,0.933333333333333,5.333333333,7.166666667,11,0,50.5,0.5,0,0.5475,0.41,3.42625,0.31375,150,12,97,18,137,0.571428571,1.0,0.785714286,3.3160926243166484,0.7564752155404356,-0.5729938161142656,-1.339421026095688,2.985347670615951,0.6835347207333121,0.9305170719799652
15,1649968,2.12918051724138,0.827586206896552,6.833333333,6.0,14,100,57.5,0.0,-5,0.68125,0.1775,4.3525,0.44,28,2,0,7,52,1.0,0.75,1.0,-0.1309207832153576,-1.211788281428672,0.28888954447787774,1.1438554636258396,-0.8944372602569549,0.35255016377143433,-0.03559173560305152
16,1649969,2.2247,0.866666666666667,5.833333333,6.416666667,9,60,50.0,2.5,0,-0.755,0.23,4.1275,0.10875,7,1,5,9,79,0.714285714,1.0,0.714285714,-0.5184633998971231,-1.085246762943364,-2.2340195642252296,0.08797857660963174,0.2566719727055599,0.5182152519863067,0.08642272884982305
17,1649972,0.931266666666667,0.866666666666667,5.833333333,4.833333333,11,56,60.0,0.5,-6,0.22625,0.26,4.06,0.33125,0,0,0,2,67,0.857142857,0.5,0.714285714,-1.0126392005734146,-0.2242790621069241,-0.2868400628664029,-0.27947194535933856,-0.04383380085523139,0.5717720861488126,-0.8598947341266635
18,1649974,2.10135616666667,0.833333333333333,4.833333333,6.916666667,12,40,50.0,0.0,0,0.595,0.2475,4.19625,0.3125,63,7,4,6,69,0.428571429,1.0,0.714285714,0.9173330466212666,-1.016411224651708,-0.6636888792423671,0.03709977841304776,1.462111522041646,0.12556145984515182,1.007931023601466
19,1649978,1.27116666666667,0.933333333333333,2.666666667,6.5,11,66,50.0,1.0,-2,-0.48875,0.46,3.23875,0.1825,0,0,0,0,60,0.857142857,0.75,1.0,-1.1299350594923778,1.2730260088028513,-1.0468399479452746,0.2075900126827391,0.04858503491327655,0.42015147847138284,0.8930488609885665
20,1649984,3.33107142857143,0.964285714285714,4.833333333,6.666666667,14,80,50.0,0.0,-12,1.02125,0.16375,3.65625,0.35375,23,0,0,2,56,0.714285714,1.0,0.642857143,-0.6952582800208857,-1.39919440533598,-0.18211183240959844,1.1531358252850086,0.1426734053735315,0.08343140690223975,0.6888362756970076
21,1649986,0.508732333333333,0.866666666666667,5.666666667,6.833333333,9,82,66.0,0.0,-32,-0.7,0.5075,3.07875,0.14,22,1,0,7,80,0.285714286,0.5,0.571428571,-0.3491433150107743,1.8013705653953733,-1.2464662973926537,-0.045936756347907816,-1.1488847445207075,-0.61932937096112,0.2877122252249225
22,1649987,1.09402,0.833333333333333,6.333333333,6.833333333,1,50,40.0,3.5,23,0.99375,0.28625,4.665,0.3,0,0,10,5,72,0.571428571,0.5,0.571428571,-0.8007802733693283,-0.28015044311070797,-0.11031605465406903,-1.1331210117249078,1.0190842542333158,0.030467143201945122,0.16279958539776554
23,1649989,1.394787,0.9,2.833333333,6.0,9,90,50.0,0.0,0,1.30875,0.36125,3.2475,0.40625,4,0,0,0,98,0.428571429,0.5,0.714285714,-0.9286290782546199,0.9312148904399086,0.8322366916919174,0.6354742305101856,-0.037281466450735434,-0.4172668399756148,0.1199057955698153
