Id,Age,Gender,Views_Model,Rank_Subjects,Rank_Model,ztree,Views_Subjects,Gender_ztree,Gender_social,Gender_nonsocial,log_ztree,ztree_ortho,gender_ortho,Social_Risk_Taking,social_dospert_sum,NonSocial_Risk_Taking,ns_num_items,ns_dospert_total,dospert_sum
1,21,1,7.4,10.3,11,6,8.2,6,5.17,2.17,.778151250383644,.2182,5.3077,5.17,62.04,2.17,18,39.06,7.34
2,20,1,5.6,8.9,11.4,6,8.6,6,5.17,2.83,.778151250383644,.2182,5.3077,5.17,62.04,2.83,18,50.94,8
3,20,1,6.2,9.9,10.9,4,7,4,5.67,3.58,.602059991327962,-1.7818,3.3077,5.67,68.04,3.58,17,60.86,9.25
4,20,0,5.2,8.6,11.7,4,9.2,0,0,0,.602059991327962,-1.7818,3.3077,5.5,66,3.38,16,54.08,8.88
5,21,1,5,7.4,11.4,8,10.4,8,6.17,4.125,.903089986991944,2.2182,7.3077,6.17,74.04,4.125,16,66,10.295
6,20,1,6.2,11.4,10.1,5,8.2,5,4.83,4.29,.698970004336019,-.7818,4.3077,4.83,57.96,4.29,17,72.93,9.12
7,18,0,6.8,10.7,10.7,8,6.2,0,0,0,.903089986991944,2.2182,7.3077,6.17,74.04,5.5,18,99,11.67
8,21,0,6.4,6.6,10.6,6,11.4,0,0,0,.778151250383644,.2182,5.3077,6.17,74.04,3,18,54,9.17
9,22,1,5.6,9.3,10.4,7,8.2,7,6,4.25,.845098040014257,1.2182,6.3077,6,72,4.25,16,68,10.25
10,20,1,7.6,8,9.1,6,10.2,6,4.83,5.67,.778151250383644,.2182,5.3077,4.83,57.96,5.67,15,85.05,10.5
11,22,1,5.2,11.7,11.5,5,8.6,5,4.5,1.63,.698970004336019,-.7818,4.3077,4.5,54,1.63,16,26.08,6.13
12,20,1,5.4,9.9,10.2,6,5.6,6,5.17,2.96,.778151250383644,.2182,5.3077,5.17,62.04,2.96,18,53.28,8.13
13,20,0,4.4,9.2,11.8,6,8.4,0,0,0,.778151250383644,.2182,5.3077,5.33,63.96,3.5,18,63,8.83
14,20,1,6.2,9.6,11.2,6,8.2,6,6.167,4.208,.778151250383644,.2182,5.3077,6.167,74.004,4.208,15,63.12,10.375
15,20,1,7,8.8,9.8,5,9.8,5,5.5,4.375,.698970004336019,-.7818,4.3077,5.5,66,4.375,16,70,9.875
