Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Question Key,Response
1,1590492704524,26/05/2020 11:31:44,1590492704062,1,26/05/2020 12:31:44,17411,6,questionnaire-9ni7,,5141030,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Consent Form,4,Male,BEGIN QUESTIONNAIRE,
2,1590492710166,26/05/2020 11:31:50,1590492709817,1,26/05/2020 12:31:49,17411,6,questionnaire-9ni7,,5141030,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1198x611,,Consent Form,4,Male,Consent1,1
3,1590492710245,26/05/2020 11:31:50,1590492709822,1,26/05/2020 12:31:49,17411,6,questionnaire-9ni7,,5141030,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1198x611,,Consent Form,4,Male,response-2-day,26
4,1590492710245,26/05/2020 11:31:50,1590492709823,1,26/05/2020 12:31:49,17411,6,questionnaire-9ni7,,5141030,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1198x611,,Consent Form,4,Male,response-2-month,05
5,1590492710245,26/05/2020 11:31:50,1590492709824,1,26/05/2020 12:31:49,17411,6,questionnaire-9ni7,,5141030,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1198x611,,Consent Form,4,Male,response-2-year,2020
6,1590492710245,26/05/2020 11:31:50,1590492709825,1,26/05/2020 12:31:49,17411,6,questionnaire-9ni7,,5141030,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1198x611,,Consent Form,4,Male,END QUESTIONNAIRE,5763
1,1591952005637,12/06/2020 08:53:25,1591952005532,2,12/06/2020 10:53:25,17411,6,questionnaire-9ni7,,5573153,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Consent Form,4,Male,BEGIN QUESTIONNAIRE,
2,1591952010607,12/06/2020 08:53:30,1591952010476,2,12/06/2020 10:53:30,17411,6,questionnaire-9ni7,,5573153,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Consent Form,4,Male,Consent1,1
3,1591952010717,12/06/2020 08:53:30,1591952010478,2,12/06/2020 10:53:30,17411,6,questionnaire-9ni7,,5573153,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Consent Form,4,Male,response-2-day,12
4,1591952010717,12/06/2020 08:53:30,1591952010478,2,12/06/2020 10:53:30,17411,6,questionnaire-9ni7,,5573153,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Consent Form,4,Male,response-2-month,06
