Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Question Key,Response
1,1591952476925,12/06/2020 09:01:16,1591952476812,2,12/06/2020 11:01:16,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,BEGIN QUESTIONNAIRE,
2,1591952506751,12/06/2020 09:01:46,1591952506683,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-2,7
3,1591952506845,12/06/2020 09:01:46,1591952506685,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-3,7
4,1591952506845,12/06/2020 09:01:46,1591952506685,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-2-quantised,7
5,1591952506845,12/06/2020 09:01:46,1591952506685,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-3-quantised,7
6,1591952506845,12/06/2020 09:01:46,1591952506686,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-4,7
7,1591952506845,12/06/2020 09:01:46,1591952506686,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-4-quantised,7
8,1591952506845,12/06/2020 09:01:46,1591952506686,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-5,7
9,1591952506845,12/06/2020 09:01:46,1591952506686,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-5-quantised,7
10,1591952506845,12/06/2020 09:01:46,1591952506686,2,12/06/2020 11:01:46,17411,6,questionnaire-dzon,,5573279,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,DOSPERT,1,Male,response-6,7
