Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Question Key,Response
1,1591952012487,12/06/2020 08:53:32,1591952012338,2,12/06/2020 10:53:32,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,BEGIN QUESTIONNAIRE,
2,1591952023892,12/06/2020 08:53:43,1591952023851,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,Consent,1
3,1591952023970,12/06/2020 08:53:43,1591952023853,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,Participant_preference,Male
4,1591952023970,12/06/2020 08:53:43,1591952023853,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,Participant_preference-quantised,1
5,1591952023970,12/06/2020 08:53:43,1591952023854,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,response-2-1,White
6,1591952023970,12/06/2020 08:53:43,1591952023854,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,response-2-text,
7,1591952023970,12/06/2020 08:53:43,1591952023854,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,response-3,Don't wish to say
8,1591952023970,12/06/2020 08:53:43,1591952023854,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,response-3-quantised,3
9,1591952023970,12/06/2020 08:53:43,1591952023854,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,response-3-text,
10,1591952023970,12/06/2020 08:53:43,1591952023854,2,12/06/2020 10:53:43,17411,6,questionnaire-jeo9,,5573156,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Demographics + preference FACES,4,Male,response-4,
