Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,chosen face,not chosen face,rand_male_face1,rand_male_face2,rand_male_face3,rand_male_face4,rand_male_face5,rand_male_face6,rand_male_face7,rand_male_face8,image_male,Participant_preference,face_rating,random number,fixation_times
1,1591952437392,12/06/2020 09:00:37,1591952437275,2,12/06/2020 11:00:37,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1591952443187,12/06/2020 09:00:43,1591952443137,2,12/06/2020 11:00:43,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,1,option1,choice,response_button_image,4588.580000010552,Google_1_John Felker_3_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
3,1591952444952,12/06/2020 09:00:44,1591952444891,2,12/06/2020 11:00:44,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,9,grey1,Zone1,continue_button,1743.5899999982212,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
4,1591952446096,12/06/2020 09:00:46,1591952446040,2,12/06/2020 11:00:46,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,10,grey2,Zone1,continue_button,1140.690000000177,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
5,1591952446377,12/06/2020 09:00:46,1591952446311,2,12/06/2020 11:00:46,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,11,grey3,Zone1,continue_button,262.69000000320375,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
6,1591952446533,12/06/2020 09:00:46,1591952446495,2,12/06/2020 11:00:46,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,12,grey4,Zone1,continue_button,175.28500000480562,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
7,1591952446720,12/06/2020 09:00:46,1591952446667,2,12/06/2020 11:00:46,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,13,grey5,Zone1,continue_button,163.48000001744367,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
8,1591952446955,12/06/2020 09:00:46,1591952446908,2,12/06/2020 11:00:46,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,14,grey6,Zone1,continue_button,232.81999997561797,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
9,1591952447658,12/06/2020 09:00:47,1591952447622,2,12/06/2020 11:00:47,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,15,grey7,Zone1,continue_button,705.3349999769125,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
10,1591952449267,12/06/2020 09:00:49,1591952449216,2,12/06/2020 11:00:49,17411,6,task-rq1q,,5573268,test,1555515,,complete,grclna,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.97,1680x1050,1473x938,,Male sequence,6,Male,1,16,congratulations,rating19,response_rating_scale_likert_active,1543.2800000126008,9,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
