SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
226499,A2DVV59R1CQU6T,3YHH42UU5CGYGEW4NICBIHLTFCZL0Y,811,6/12/2020 5:35:02 PM,6/12/2020 5:48:33 PM,Approved,2.50,0.00,0.150000,qvxquj,,Male,100.00 %,
226499,A2LCFORIW0NF1S,3CN4LGXD5YPZF1L4PYO3OSD253K4YQ,1350,6/12/2020 5:31:24 PM,6/12/2020 5:53:54 PM,Approved,2.50,0.00,0.150000,osazil,,Female,100.00 %,
226499,A2PXJTMWGUE5DC,3ZQIG0FLQFHUK99JUT72CLSZ7FGWVU,1562,6/12/2020 5:31:20 PM,6/12/2020 5:57:22 PM,Approved,2.50,0.00,0.150000,smcwye,,Female,100.00 %,
226499,AN098C29EGJ6,3WJEQKOXA93HRKQIMARLN8OSQS7A19,1795,6/12/2020 5:32:59 PM,6/12/2020 6:02:54 PM,Approved,2.50,0.00,0.150000,erodfn,,,,
226499,A3OV174HQJIJK8,3QUO65DNQVPM2LBHYH6NZ5DUQ68UOR,2296,6/12/2020 5:31:23 PM,6/12/2020 6:09:39 PM,Approved,2.50,0.00,0.150000,vsrfan,,,,
226499,A17TKHT8FEVH0R,3ZOTGHDK5JC6N8JD9CBNK4V659NSO9,2305,6/12/2020 5:31:25 PM,6/12/2020 6:09:50 PM,Approved,2.50,0.00,0.150000,kpwruz,,,,
226499,A2CHDWKAYZ3P3E,32AT8R96GMA10D3A5YNWJANVNVBUSO,2439,6/12/2020 5:31:25 PM,6/12/2020 6:12:04 PM,Approved,2.50,0.00,0.150000,ydxcfk,,,,
226499,A110KENBXU7SUJ,3STRJBFXOXSOCHBD0KOKNSAJNNRKT6,3318,6/12/2020 5:31:21 PM,6/12/2020 6:26:39 PM,Approved,2.50,0.00,0.150000,hfyuqg,,,,
226499,ASP32QB28TEZU,3VBEN272ML0IVV2FLTYFFVM4ENWSGM,1859,6/12/2020 6:31:30 PM,6/12/2020 7:02:29 PM,Approved,2.50,0.00,0.150000,cyrnzn,,,,
226499,A1WR3WTEHJEY2D,3CFJTT4SXURA8OOINE075G3O6NX7IU,2241,6/12/2020 6:32:23 PM,6/12/2020 7:09:44 PM,Approved,2.50,0.00,0.150000,pvoamb,,,,
