subname_turk,subnum_J,subname_J,age,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiTotal,pdiDichot,beadsDraws,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,dospert,samples,ranks
A100Y89FZO4J0B,142,Ti5wMY90nMngFjGzkr,29,0,1,1,0,3,.25,.428571429,.714285714,.142857143,0,0,0,13,74,-3,1,-1,-3,54,0,-.18125,1.285,.84125,.2925,3.33625,.44,0,0,0,3,0,0,118,4.66666666666667,6.83333333333333
A101WUMP4O5DY7,338,aN5KKB3mnMn2H3Ozua,60,0,0,3,99,5,1,.857142857,.428571429,.571428571,0,0,0,9,82,-10,0,0,-10,58,1.5,-.315,.9625,.95,.195,4.6925,.36125,2,0,0,3,0,0,50,5.16666666666667,5.58333333333333
A10AUPF8B5NJPC,179,nY54IsEhnMnJbi3zB6,30,1,1,5,75,3,.5,.928571429,.714285714,.142857143,1,10,1,8,75,-13,-3,0,-16,58,1,-.20125,1.44625,1.045,.285,4.1925,.5525,0,0,0,3,0,0,96,6.66666666666667,5.33333333333333
A110BZSDZN7E16,697,Vp5j0QghnMnidB8z58,46,1,1,1,100,4,1,.571428571,.714285714,.285714286,1,16,2,8,59,-4,-4,-3,-11,53.5,0,-.77,1.11E-016,.4,.35375,4.1875,.33625,0,0,0,3,0,0,77,6.66666666666667,5.91666666666667
A110KENBXU7SUJ,417,ha5Rd00ynMnIHRdzsf,46,1,1,1,50,5,1,1,.857142857,.142857143,4,39,4,9,83,0,0,0,0,57.5,7.5,-.32375,.4325,.575,.405,3.315,.3475,1,0,0,3,0,0,55,3.66666666666667,4.83333333333333
A11EL5LWS2L1HX,660,955xDWconMnlowNzD2,19,0,0,1,60,4,.5,.5,.285714286,.714285714,3,21,3,9,63,-1,-2,0,-3,52.5,1,-.3,1.10875,.86625,.31,4.01625,.46375,0,0,0,3,0,0,44,3.33333333333333,6.58333333333333
A122LRCSBAD6DC,671,d85lxt9cnMnWraUzJ2,26,1,1,3,0,5,1,.714285714,.714285714,.285714286,0,0,0,9,60,-2,0,0,-2,52,1,-.375,.915,.7975,.30375,4.2975,.42,0,1,0,3,0,0,53,4.16666666666667,6.75
A12NO2MNOIREXA,447,p55eFRlFnMnEwPbz4q,40,1,1,3,70,5,.75,.428571429,.857142857,.142857143,4,26,3,12,65,-9,-5,-5,-19,47.5,.5,-.39875,.45625,.56125,.38875,4.00125,.1875,0,0,0,2,0,0,52,6.16666666666667,6.41666666666667
A13UMY3NL33676,439,d65mwQRSnMnmIamzbK,36,0,1,1,100,5,.25,.285714286,.857142857,.142857143,1,28,2,4,43,9,0,0,9,50,0,-.08625,1.73625,1.0475,.35,3.43125,.58625,0,3,0,3,0,0,98,4.33333333333333,5.91666666666667
A13WYZ8AXD6ODX,357,XP5LbbennMnwEfYz5u,42,1,1,1,1,5,.75,.642857143,0,1,6,54,6,11,85,0,0,0,0,50,0,-.64125,.08875,.465,.3675,3.66125,.4175,0,0,0,2,0,0,96,7,5.83333333333333
A140YK07NHCPOF,890,RX59t09pnMnkPanzVe,49,0,1,3,100,4,.5,.928571429,.428571429,.428571429,2,32,4,9,66,0,0,0,0,50,0,-.29,.85375,.7925,.33375,3.93,.35375,0,0,0,3,0,0,101,4.16666666666667,6
A16184N1RO5OJV,561,JU5HDDqtnMn3c89zwH,38,0,0,3,100,5,.75,.714285714,.857142857,.142857143,3,43,5,9,40,0,0,0,0,57.5,17.5,-.61875,-.19,.2975,.24375,3.92125,.19,0,0,2,3,0,0,51,4.5,6.33333333333333
A16G6PPH1INQL8,279,4P5xwBhmnMnyGvCzJv,50,0,1,2,0,5,1,.785714286,.857142857,.142857143,0,0,0,13,93,0,0,11,11,49.5,.5,-.62,.11875,.51125,.20125,4.3,.35875,0,0,0,3,0,0,84,5,5.16666666666667
A173XG3NZ7JPT7,936,Uq5d5DsinMnKdwTzMb,41,0,1,1,25,5,.75,.714285714,.571428571,.285714286,1,24,3,11,86,0,0,-4,-4,50,1,-.33625,.8525,.85125,.35875,3.86125,.3725,0,0,0,3,0,0,82,5.66666666666667,7.16666666666667
A17OSPGV41FZ7P,764,ul5aMjDmnMnDw8EzrM,33,0,1,0,15,4,1,.928571429,.714285714,.285714286,0,0,0,14,100,0,0,0,0,50,0,-.63875,.0725,.3925,.35,3.72125,.21875,0,0,0,3,0,0,53,3.83333333333333,7.83333333333333
A17TKHT8FEVH0R,134,6f5OviUXnMnI2uIzUq,24,1,1,1,0,5,.5,.571428571,.142857143,.857142857,10,136,11,8,75,-26,0,0,-26,50.5,.5,-.865,-.34,.2775,.08125,5.0525,.1475,0,1,0,3,0,0,72,5,7.16666666666667
A183CH30KYPRAE,822,5M5XYSxNnMnKSqJzgi,37,1,1,4,95,4,1,1,.714285714,.285714286,2,29,3,11,100,0,0,0,0,55,.5,-.2375,1.31375,.9225,.23875,3.8675,.40625,0,2,0,3,0,0,61,5.83333333333333,4.41666666666667
A1A09TO5Q9I80K,658,Bt575oSFnMn08aazN0,49,1,1,3,100,5,.25,.357142857,.428571429,.571428571,5,62,6,1,56,0,0,0,0,60,10,-.68875,-.16125,.31875,.28,3.81375,.27125,1,0,1,3,0,0,142,5.83333333333333,6.08333333333333
A1AF6EW9YUMER9,405,M55BPNGtnMnJ4pEzn9,30,1,1,4,0,5,.5,.928571429,1,0,1,4,1,11,70,-5,-5,-5,-15,60,5,-.33125,.53,.58875,.38625,3.45,.29125,0,2,0,3,0,0,60,3.16666666666667,5.66666666666667
A1AFK7CIGJ8R61,501,XQ5HA75InMnKXlrz1y,39,0,1,1,100,1,.5,.785714286,.428571429,.571428571,4,29,3,12,75,0,0,0,0,50,0,-.29375,.83375,.70625,.4125,3.92,.3325,0,1,0,3,0,0,88,3.33333333333333,7.5
A1B5SSGMTAQ9B5,477,XJ5PiMQanMn4hFazDP,37,0,1,4,90,3,.75,.714285714,.571428571,.428571429,1,10,1,3,25,-6,-4,-5,-15,60.5,.5,-.04625,.81625,.8275,.2275,3.82625,.16375,0,1,0,3,0,0,93,6.33333333333333,5.75
A1CO5ONFXX6VLN,222,9n5OA9oQnMn36CBzmx,55,1,1,3,50,3,.5,.642857143,.285714286,.714285714,1,15,2,27,48,0,0,0,0,75.5,5.5,-.70375,-.9225,.0525,.4,3.28,.0475,0,1,1,3,0,0,95,4,5.83333333333333
A1DKVUTOBPQH11,129,l45VVnYunMnEhuSzUl,35,1,1,3,100,1,1,.714285714,1,0,3,29,4,12,88,0,0,0,0,73.5,10,-.3575,.6375,.75875,.41375,3.7075,.38375,1,0,0,3,0,0,75,4.33333333333333,6.83333333333333
A1DMXEJGJY02E1,679,wf5hwHo7nMnN7YIzK6,30,0,1,3,0,5,1,.928571429,.714285714,.285714286,2,19,2,11,74,-2,0,0,-2,50.5,.5,-.1625,.47,.6125,.41875,3.24,.2325,0,2,0,3,0,0,104,6.16666666666667,7.16666666666667
A1EDMN0J522ATZ,911,yT5ICoPtnMns7bGzxP,49,1,1,1,0,4,.5,.785714286,.571428571,.428571429,1,5,1,11,70,0,0,0,0,44.5,5.5,-.4175,1.09625,.7625,.31,3.9425,.39625,0,1,0,3,0,0,111,6,5.33333333333333
