V1,subj_idx,subnum_J,turkId,PrivateID,Direction,PDI,PDI_GROUP,CAPS,CAPS_GROUP,ASI,ASI_GROUP,dospert,DOSPERT_GROUP,samples,SAMPLES_GROUP,ranks,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiDichot,beadsDraws,DTD_GROUP,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,check_match,drift_rate,decision_trheshold,trial,rt,response
1433,ziewgh,463,AWNQ9E62XRB0O,1639065,Right,16,LPDI,15,HCAPS,9,HASI,71,LDOSPERT,5,LSAM,5.583333333,0,0,1,10,4,1,.571428571,.428571429,.571428571,1,2,8,LDTD,70,-12,-5,0,-17,63.5,.5,-.2575,1.2975,1.00625,.17,4.435,.43,0,1,0,3,False,False,True,-.331976747,1.722812322,1,.896548,.5
3299,uguxiv,477,A1B5SSGMTAQ9B5,1639069,Left,10,LPDI,0,LCAPS,0,LASI,93,HDOSPERT,6.333333333,HSAM,5.75,0,1,4,90,3,.75,.714285714,.571428571,.428571429,1,1,3,LDTD,25,-6,-4,-5,-15,60.5,.5,-.04625,.81625,.8275,.2275,3.82625,.16375,0,1,0,3,False,False,True,1.172476561,4.418975818,1,2.73630689655172,.96551724137931
2651,yrsjbx,310,A1F8O6BA8AZTRF,1639126,Left,35,HPDI,84,HCAPS,26,HASI,75,LDOSPERT,6,HSAM,4.75,0,1,3,85,4,0,.785714286,.571428571,.428571429,3,4,11,HDTD,96,0,0,0,0,50.5,.5,-.5175,.73875,.77125,.1425,4.77875,.41375,0,2,0,3,False,False,True,2.052801077,1.571104519,1,1.25308433333333,1
1292,yzgwzi,308,A1NYI79LUIBOTP,1639153,Right,39,HPDI,0,LCAPS,3,LASI,90,HDOSPERT,4.833333333,LSAM,7.166666667,1,1,3,100,1,1,.571428571,1,0,2,4,1,LDTD,73,-6,-3,-4,-13,74,17,-.87125,-.86625,.10625,.3075,3.56625,.105,0,0,0,3,False,False,True,1.098426943,1.612868237,1,1.060193,.766666666666667
1380,fblvcf,48,AOAZMLP27GD81,1639164,Left,21,LPDI,25,HCAPS,3,LASI,63,LDOSPERT,5,LSAM,6.666666667,1,1,1,5,5,.75,1,1,0,1,2,8,LDTD,60,-5,-3,-3,-11,55,.5,-.515,.565,.63125,.19125,4.3975,.355,0,0,0,3,False,False,True,1.165605127,1.701584661,1,1.371062,.833333333333333
4062,wsbtqk,639,A82Q1HS5CPZ5I,1639182,Right,35,HPDI,0,LCAPS,4,LASI,62,LDOSPERT,7.666666667,HSAM,4.25,1,1,2,50,4,.5,.357142857,0,1,4,4,14,HDTD,100,-9,-10,0,-19,71,.5,-.5075,-.31875,.42125,.36875,3.44125,.2925,0,0,0,3,False,False,True,1.311284047,1.469783806,1,1.17694733333333,.8
2027,oaupty,705,AXJ1PE87PD0KK,1639200,Right,7,LPDI,14,HCAPS,1,LASI,99,HDOSPERT,5.5,HSAM,5.5,0,1,4,2,5,1,.642857143,1,0,1,1,12,HDTD,81,-3,0,0,-3,56,0,-.34375,.78625,.7175,.33875,3.57375,.42875,0,1,0,3,False,False,True,1.100592121,2.327182588,1,1.727964,.933333333333333
4122,klyysb,75,A2FLOH4DM8A4ZS,1639243,Right,0,LPDI,0,LCAPS,0,LASI,87,HDOSPERT,8,HSAM,3.583333333,1,1,2,50,5,1,.857142857,.857142857,.142857143,0,0,4,LDTD,50,-1,-2,-2,-5,50,0,0,1.645,1,.3525,3.04125,.5,0,2,1,3,False,False,True,.693639043,1.770334354,1,1.29936933333333,.8
2503,vpvvvv,905,A3D2U4QF7821ZW,1639279,Right,35,HPDI,25,HCAPS,17,HASI,81,LDOSPERT,5.833333333,HSAM,6.083333333,0,1,3,5,5,1,.642857143,.857142857,.142857143,3,4,11,HDTD,82,-7,-6,-6,-19,58,0,-.41875,.685,.72875,.2825,4.46,.3025,0,0,0,3,False,False,True,1.005755779,2.182239346,1,1.38428766666667,.933333333333333
3972,ludvys,428,A3RLCGRXA34GC0,1639284,Left,26,HPDI,31,HCAPS,10,HASI,109,HDOSPERT,7.333333333,HSAM,3.583333333,1,1,3,99,5,.75,.857142857,1,0,2,4,5,LDTD,38,0,0,0,0,50.5,.5,-.39875,1.21625,.85375,.24125,4.36125,.48,2,0,0,3,False,False,True,3.059195211,2.816743003,1,.877088166666667,.966666666666667
3001,fhcmzr,766,AXTFSJDN2YLO5,1649953,Right,47,HPDI,0,LCAPS,0,LASI,116,HDOSPERT,6.166666667,HSAM,5.166666667,0,1,1,0,5,.5,.571428571,.285714286,.714285714,4,5,13,HDTD,74,0,0,0,0,49.5,1.5,-.15,1.24125,.8775,.40875,3.8,.41625,1,0,0,3,False,False,True,3.410404546,1.94947946,1,1.0065175,.966666666666667
760,lkedvq,774,AZJKB1D4AFMQY,1649954,Left,29,HPDI,0,LCAPS,0,LASI,59,LDOSPERT,4.5,LSAM,6.75,0,1,2,100,5,0,.428571429,.428571429,.571428571,1,2,4,LDTD,67,0,0,0,0,59,5,-.26,.95125,.78625,.29625,4.125,.3375,0,0,0,3,False,False,True,.310163902,1.809005534,1,.920023,.7
